TaxonId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,FullName,,AuthorYear,RankName,CurrentListing,FullAnnotationEnglish,AnnotationEnglish,AnnotationSpanish,AnnotationFrench,#AnnotationSymbol,#Annotation,SynonymsWithAuthors,EnglishNames,SpanishNames,FrenchNames,CitesAccepted,All_DistributionISOCodes,All_DistributionFullNames,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain
3712,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,longimanus,,Carcharhinus longimanus,,(Poey 1861),SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Pterolamiops magnipinnis (Smith, 1958), Pterolamiops budkeri (Fourmanoir, 1961), Carcharius insularum (Zindler, 1904), Carcharius obtusus (Garman, 1881), Pterolamiops longimanus (Poey, 1861)","Oceanic whitetip shark, Whitetip oceanic shark, White-tipped shark, Whitetip shark","tiburón oceánico, Tiburón rabo manchado",Requin océanique,TRUE,"DZ, AS, AO, AI, AG, AR, AW, AU, BS, BB, BZ, BM, BQ, BR, VG, CV, KY, CL, CN, CX, CP, CC, CO, KM, CR, HR, CU, CW, CY, KP, DJ, DM, DO, EC, EG, SV, GQ, ER, ET, FJ, FR, GF, PF, GA, GR, GP, GU, GT, HT, HN, IN, ID, IR, IT, JM, JP, KE, KI, LB, LY, MG, MY, MV, MT, MH, MQ, MU, YT, MX, FM, MS, MA, MZ, MM, NA, NR, NC, NZ, NU, MP, OM, PW, PA, PG, PE, PH, PN, PT, PR, KR, RE, BL, SH, KN, LC, MF, VC, WS, ST, SA, SN, SC, SX, SB, SO, ZA, ES, LK, SD, SY, TW, TH, TL, TO, TT, TN, TR, TV, TZ, UM, US, VU, VE, VI, WF, EH, YE","Algeria, American Samoa, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Barbados, Belize, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Cabo Verde, Cayman Islands (United Kingdom), Chile, China, Christmas Island, Clipperton, Cocos (Keeling) Islands, Colombia, Comoros, Costa Rica, Croatia, Cuba, Curaçao, Cyprus, Democratic People's Republic of Korea, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Fiji, France, French Guiana [FR], French Polynesia, Gabon, Greece, Guadeloupe, Guam, Guatemala, Haiti, Honduras, India, Indonesia, Iran (Islamic Republic of), Italy, Jamaica, Japan, Kenya, Kiribati, Lebanon, Libya, Madagascar, Malaysia, Maldives, Malta, Marshall Islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia (Federated States of), Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, Namibia, Nauru, New Caledonia, New Zealand, Niue, Northern Mariana Islands, Oman, Palau, Panama, Papua New Guinea, Peru, Philippines, Pitcairn Islands (United Kingdom), Portugal, Puerto Rico, Republic of Korea, Réunion, Saint-Barthélemy, Saint Helena and Dependencies (United Kingdom), Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sint Maarten, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, Sudan, Syrian Arab Republic, Taiwan, Province of China, Thailand, Timor-Leste, Tonga, Trinidad and Tobago, Tunisia, Türkiye, Tuvalu, United Republic of Tanzania, United States Minor Outlying Islands, United States of America, Vanuatu, Venezuela (Bolivarian Republic of), Virgin Islands of the USA, Wallis and Futuna Islands, Western Sahara, Yemen","American Samoa, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Barbados, Belize, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Cabo Verde, Cayman Islands (United Kingdom), Chile, China, Christmas Island, Clipperton, Cocos (Keeling) Islands, Colombia, Comoros, Costa Rica, Croatia, Cuba, Curaçao, Democratic People's Republic of Korea, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Fiji, French Guiana [FR], French Polynesia, Gabon, Guadeloupe, Guam, Guatemala, Haiti, Honduras, India, Indonesia, Iran (Islamic Republic of), Jamaica, Japan, Kenya, Kiribati, Libya, Madagascar, Malaysia, Maldives, Marshall Islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia (Federated States of), Montserrat (United Kingdom), Mozambique, Myanmar, Namibia, Nauru, New Caledonia, New Zealand, Niue, Northern Mariana Islands, Oman, Palau, Panama, Papua New Guinea, Peru, Philippines, Pitcairn Islands (United Kingdom), Portugal, Puerto Rico, Republic of Korea, Réunion, Saint-Barthélemy, Saint Helena and Dependencies (United Kingdom), Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sint Maarten, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, Sudan, Taiwan, Province of China, Thailand, Timor-Leste, Tonga, Trinidad and Tobago, Tuvalu, United Republic of Tanzania, United States Minor Outlying Islands, United States of America, Vanuatu, Venezuela (Bolivarian Republic of), Virgin Islands of the USA, Wallis and Futuna Islands, Western Sahara, Yemen",,,,,,"Algeria, Cyprus, France, Greece, Italy, Lebanon, Malta, Morocco, Syrian Arab Republic, Tunisia, Türkiye"
100362,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,macloti,,Carcharhinus macloti,,"(Müller & Henle, 1839)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Hardnose shark,,,TRUE,"AU, BH, BD, BN, KH, CN, IN, ID, IR, IQ, JP, KE, KW, MY, MM, OM, PK, PG, PH, QA, SA, SG, SO, LK, TW, TH, AE, TZ, VN, YE","Australia, Bahrain, Bangladesh, Brunei Darussalam, Cambodia, China, India, Indonesia, Iran (Islamic Republic of), Iraq, Japan, Kenya, Kuwait, Malaysia, Myanmar, Oman, Pakistan, Papua New Guinea, Philippines, Qatar, Saudi Arabia, Singapore, Somalia, Sri Lanka, Taiwan, Province of China, Thailand, United Arab Emirates, United Republic of Tanzania, Viet Nam, Yemen","Australia, Bahrain, Bangladesh, Brunei Darussalam, Cambodia, China, India, Indonesia, Iran (Islamic Republic of), Iraq, Japan, Kenya, Kuwait, Malaysia, Myanmar, Oman, Pakistan, Papua New Guinea, Philippines, Qatar, Saudi Arabia, Singapore, Somalia, Sri Lanka, Taiwan, Province of China, Thailand, United Arab Emirates, United Republic of Tanzania, Viet Nam, Yemen",,,,,,
100364,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,melanopterus,,Carcharhinus melanopterus,,"(Quoy & Gaimard, 1824)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Blacktip reef shark,,,TRUE,"AS, AU, BD, BN, KH, CN, CX, CC, KM, CK, CR, DJ, EG, ER, FJ, PF, GU, HK, IN, ID, IR, IQ, IL, JP, KE, KI, MG, MY, MV, MH, MU, YT, FM, MZ, MM, NR, NC, NU, MP, OM, PK, PW, PG, PH, QA, RE, WS, SA, SC, SG, SB, SO, ZA, LK, SD, TW, TH, TL, TK, TO, TV, AE, TZ, UM, VU, VN, WF, YE","American Samoa, Australia, Bangladesh, Brunei Darussalam, Cambodia, China, Christmas Island, Cocos (Keeling) Islands, Comoros, Cook Islands, Costa Rica, Djibouti, Egypt, Eritrea, Fiji, French Polynesia, Guam, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Japan, Kenya, Kiribati, Madagascar, Malaysia, Maldives, Marshall Islands, Mauritius, Mayotte, Micronesia (Federated States of), Mozambique, Myanmar, Nauru, New Caledonia, Niue, Northern Mariana Islands, Oman, Pakistan, Palau, Papua New Guinea, Philippines, Qatar, Réunion, Samoa, Saudi Arabia, Seychelles, Singapore, Solomon Islands, Somalia, South Africa, Sri Lanka, Sudan, Taiwan, Province of China, Thailand, Timor-Leste, Tokelau, Tonga, Tuvalu, United Arab Emirates, United Republic of Tanzania, United States Minor Outlying Islands, Vanuatu, Viet Nam, Wallis and Futuna Islands, Yemen","American Samoa, Australia, Bangladesh, Brunei Darussalam, Cambodia, China, Christmas Island, Cocos (Keeling) Islands, Comoros, Cook Islands, Costa Rica, Djibouti, Egypt, Eritrea, Fiji, French Polynesia, Guam, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Japan, Kenya, Kiribati, Madagascar, Malaysia, Maldives, Marshall Islands, Mauritius, Mayotte, Micronesia (Federated States of), Mozambique, Myanmar, Nauru, New Caledonia, Niue, Northern Mariana Islands, Oman, Pakistan, Palau, Papua New Guinea, Philippines, Qatar, Réunion, Samoa, Saudi Arabia, Seychelles, Singapore, Solomon Islands, Somalia, South Africa, Sri Lanka, Sudan, Taiwan, Province of China, Thailand, Timor-Leste, Tokelau, Tonga, Tuvalu, United Arab Emirates, United Republic of Tanzania, United States Minor Outlying Islands, Vanuatu, Viet Nam, Wallis and Futuna Islands, Yemen",,,,,,
67070,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,obscurus,,Carcharhinus obscurus,,"(Lesueur, 1818)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Dusky shark,,,TRUE,"DZ, AU, BS, BH, BD, BZ, BJ, BR, BN, CV, KH, CM, CL, CN, CO, KM, CG, CR, CU, KP, CD, DJ, EC, EG, SV, GQ, ER, GF, GM, GH, GT, GN, GW, GY, HT, HN, HK, IN, ID, IR, IQ, IL, IT, JP, JO, KE, KW, LR, LY, MO, MG, MY, MR, MX, MA, MZ, MM, NC, NZ, NI, NG, OM, PK, PW, PA, PG, PE, PH, PT, QA, KR, SA, SN, SL, SG, SO, ZA, ES, LK, SD, SR, TW, TH, TL, TG, AE, TZ, US, UY, VE, VN, EH, YE","Algeria, Australia, Bahamas, Bahrain, Bangladesh, Belize, Benin, Brazil, Brunei Darussalam, Cabo Verde, Cambodia, Cameroon, Chile, China, Colombia, Comoros, Congo, Costa Rica, Cuba, Democratic People's Republic of Korea, Democratic Republic of the Congo, Djibouti, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, French Guiana [FR], Gambia, Ghana, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Italy, Japan, Jordan, Kenya, Kuwait, Liberia, Libya, Macao, SAR, Madagascar, Malaysia, Mauritania, Mexico, Morocco, Mozambique, Myanmar, New Caledonia, New Zealand, Nicaragua, Nigeria, Oman, Pakistan, Palau, Panama, Papua New Guinea, Peru, Philippines, Portugal, Qatar, Republic of Korea, Saudi Arabia, Senegal, Sierra Leone, Singapore, Somalia, South Africa, Spain, Sri Lanka, Sudan, Suriname, Taiwan, Province of China, Thailand, Timor-Leste, Togo, United Arab Emirates, United Republic of Tanzania, United States of America, Uruguay, Venezuela (Bolivarian Republic of), Viet Nam, Western Sahara, Yemen","Algeria, Australia, Bahamas, Bahrain, Bangladesh, Belize, Benin, Brazil, Brunei Darussalam, Cabo Verde, Cambodia, Cameroon, Chile, China, Colombia, Comoros, Congo, Costa Rica, Cuba, Democratic People's Republic of Korea, Democratic Republic of the Congo, Djibouti, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, French Guiana [FR], Gambia, Ghana, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Italy, Japan, Jordan, Kenya, Kuwait, Liberia, Libya, Macao, SAR, Madagascar, Malaysia, Mauritania, Mexico, Morocco, Mozambique, Myanmar, New Caledonia, New Zealand, Nicaragua, Nigeria, Oman, Pakistan, Palau, Panama, Papua New Guinea, Peru, Philippines, Portugal, Qatar, Republic of Korea, Saudi Arabia, Senegal, Sierra Leone, Singapore, Somalia, South Africa, Spain, Sri Lanka, Sudan, Suriname, Taiwan, Province of China, Thailand, Timor-Leste, Togo, United Arab Emirates, United Republic of Tanzania, United States of America, Uruguay, Venezuela (Bolivarian Republic of), Viet Nam, Western Sahara, Yemen",,,,,,
100365,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,obsoletus,,Carcharhinus obsoletus,,"White, Kyne & Harris, 2019",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Lost shark,,,TRUE,"MY, TH, VN","Malaysia, Thailand, Viet Nam","Malaysia, Thailand, Viet Nam",,,,,,
100366,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,perezi,,Carcharhinus perezi,,"(Poey, 1876)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Caribbean reef shark,,,TRUE,"AI, AG, AW, BS, BB, BZ, BM, BQ, BR, VG, KY, CO, CR, CU, CW, DM, DO, GF, GD, GP, GT, GY, HT, HN, JM, MQ, MX, MS, NI, PA, PR, BL, KN, LC, MF, SR, TT, TC, US, VE, VI","Anguilla (United Kingdom), Antigua and Barbuda, Aruba, Bahamas, Barbados, Belize, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Cayman Islands (United Kingdom), Colombia, Costa Rica, Cuba, Curaçao, Dominica, Dominican Republic, French Guiana [FR], Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat (United Kingdom), Nicaragua, Panama, Puerto Rico, Saint-Barthélemy, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Suriname, Trinidad and Tobago, Turks and Caicos Islands (United Kingdom), United States of America, Venezuela (Bolivarian Republic of), Virgin Islands of the USA","Anguilla (United Kingdom), Antigua and Barbuda, Aruba, Bahamas, Barbados, Belize, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Cayman Islands (United Kingdom), Colombia, Costa Rica, Cuba, Curaçao, Dominica, Dominican Republic, French Guiana [FR], Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat (United Kingdom), Nicaragua, Panama, Puerto Rico, Saint-Barthélemy, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Suriname, Trinidad and Tobago, Turks and Caicos Islands (United Kingdom), United States of America, Venezuela (Bolivarian Republic of), Virgin Islands of the USA",,,,,,
67350,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,plumbeus,,Carcharhinus plumbeus,,"(Nardo, 1827)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,"Carcharhinus japonicus Temminck & Schlegel, 1850",Sandbar shark,,,TRUE,"AL, DZ, AO, AI, AG, AR, AW, AU, BS, BH, BD, BB, BZ, BJ, BQ, BA, BR, VG, BN, BG, CV, KH, CM, CN, CO, CG, CR, CI, HR, CU, CW, CY, KP, DJ, DM, DO, EC, EG, SV, GQ, ER, FR, GF, GA, GM, GE, GH, GR, GD, GP, GT, GN, GW, GY, HT, HN, HK, IN, ID, IR, IQ, IL, IT, JM, JP, JO, KE, KW, LB, LR, LY, MO, MG, MY, MT, MQ, MR, MU, MX, MC, ME, MS, MA, MZ, MM, NC, NI, NG, NF, OM, PK, PA, PG, PE, PH, PT, PR, QA, KR, RO, RU, KN, LC, MF, VC, ST, SA, SN, SC, SL, SG, SX, SI, SB, SO, ZA, ES, LK, PS, SD, SR, SY, TW, TH, TL, TG, TT, TN, TR, TC, UA, AE, TZ, US, UY, VE, VN, VI, EH, YE","Albania, Algeria, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Bahrain, Bangladesh, Barbados, Belize, Benin, Bonaire, Saint Eustatius and Saba, Bosnia and Herzegovina, Brazil, British Virgin Islands (United Kingdom), Brunei Darussalam, Bulgaria, Cabo Verde, Cambodia, Cameroon, China, Colombia, Congo, Costa Rica, Côte d'Ivoire, Croatia, Cuba, Curaçao, Cyprus, Democratic People's Republic of Korea, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, France, French Guiana [FR], Gabon, Gambia, Georgia, Ghana, Greece, Grenada, Guadeloupe, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kenya, Kuwait, Lebanon, Liberia, Libya, Macao, SAR, Madagascar, Malaysia, Malta, Martinique, Mauritania, Mauritius, Mexico, Monaco, Montenegro, Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, New Caledonia, Nicaragua, Nigeria, Norfolk Island, Oman, Pakistan, Panama, Papua New Guinea, Peru, Philippines, Portugal, Puerto Rico, Qatar, Republic of Korea, Romania, Russian Federation, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Sint Maarten, Slovenia, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, State of Palestine, Sudan, Suriname, Syrian Arab Republic, Taiwan, Province of China, Thailand, Timor-Leste, Togo, Trinidad and Tobago, Tunisia, Türkiye, Turks and Caicos Islands (United Kingdom), Ukraine, United Arab Emirates, United Republic of Tanzania, United States of America, Uruguay, Venezuela (Bolivarian Republic of), Viet Nam, Virgin Islands of the USA, Western Sahara, Yemen","Albania, Algeria, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Bahrain, Bangladesh, Barbados, Belize, Benin, Bonaire, Saint Eustatius and Saba, Bosnia and Herzegovina, Brazil, British Virgin Islands (United Kingdom), Brunei Darussalam, Bulgaria, Cabo Verde, Cambodia, Cameroon, China, Colombia, Congo, Costa Rica, Côte d'Ivoire, Croatia, Cuba, Curaçao, Cyprus, Democratic People's Republic of Korea, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, French Guiana [FR], Gabon, Gambia, Georgia, Ghana, Greece, Grenada, Guadeloupe, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kenya, Kuwait, Lebanon, Liberia, Libya, Macao, SAR, Madagascar, Malaysia, Malta, Martinique, Mauritania, Mauritius, Mexico, Montenegro, Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, New Caledonia, Nicaragua, Nigeria, Norfolk Island, Oman, Pakistan, Panama, Papua New Guinea, Peru, Philippines, Portugal, Puerto Rico, Qatar, Republic of Korea, Romania, Russian Federation, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Sint Maarten, Slovenia, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, Sudan, Suriname, Syrian Arab Republic, Taiwan, Province of China, Thailand, Timor-Leste, Togo, Trinidad and Tobago, Tunisia, Türkiye, Turks and Caicos Islands (United Kingdom), Ukraine, United Arab Emirates, United Republic of Tanzania, United States of America, Uruguay, Venezuela (Bolivarian Republic of), Viet Nam, Virgin Islands of the USA, Western Sahara, Yemen",,,,,,"France, Monaco, State of Palestine"
100363,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,porosus,,Carcharhinus porosus,,"(Ranzani, 1839)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Smalltail shark,,,TRUE,"BZ, BR, CO, CR, GF, GT, GY, HN, MX, NI, PA, SR, US, VE","Belize, Brazil, Colombia, Costa Rica, French Guiana [FR], Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Suriname, United States of America, Venezuela (Bolivarian Republic of)","Belize, Brazil, Colombia, Costa Rica, French Guiana [FR], Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Suriname, United States of America, Venezuela (Bolivarian Republic of)",,,,,,
100368,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,sealei,,Carcharhinus sealei,,"(Pietschmann, 1913)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Blackspot shark,,,TRUE,"BN, KH, IN, ID, MY, MM, PH, TH, VN","Brunei Darussalam, Cambodia, India, Indonesia, Malaysia, Myanmar, Philippines, Thailand, Viet Nam","Brunei Darussalam, Cambodia, India, Indonesia, Malaysia, Myanmar, Philippines, Thailand, Viet Nam",,,,,,
100367,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,signatus,,Carcharhinus signatus,,"(Poey, 1868)",SPECIES,II,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP19 en noviembre de 2022 con entrada en vigor aplazada 12 meses. ,Appendix II:Inscription adoptée à la CdP19 en novembre 2022 avec entrée en vigueur retardée de 12 mois. ,,Appendix II: ,,Night shark,,,TRUE,"AO, AI, AG, AR, AW, BS, BB, BZ, BJ, BM, BQ, BR, VG, CM, KY, CO, CR, CI, CU, CW, CD, DM, DO, GQ, GF, GA, GM, GH, GD, GP, GT, GN, GW, GY, HT, HN, JM, LR, MQ, MX, MS, NA, NI, NG, PA, PR, BL, KN, LC, MF, VC, SN, SL, SX, SR, TG, TT, TC, US, UY, VE, VI","Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Benin, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Cameroon, Cayman Islands (United Kingdom), Colombia, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Democratic Republic of the Congo, Dominica, Dominican Republic, Equatorial Guinea, French Guiana [FR], Gabon, Gambia, Ghana, Grenada, Guadeloupe, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Jamaica, Liberia, Martinique, Mexico, Montserrat (United Kingdom), Namibia, Nicaragua, Nigeria, Panama, Puerto Rico, Saint-Barthélemy, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Senegal, Sierra Leone, Sint Maarten, Suriname, Togo, Trinidad and Tobago, Turks and Caicos Islands (United Kingdom), United States of America, Uruguay, Venezuela (Bolivarian Republic of), Virgin Islands of the USA","Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Benin, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Cameroon, Cayman Islands (United Kingdom), Colombia, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Democratic Republic of the Congo, Dominica, Dominican Republic, Equatorial Guinea, French Guiana [FR], Gabon, Gambia, Ghana, Grenada, Guadeloupe, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Jamaica, Liberia, Martinique, Mexico, Montserrat (United Kingdom), Namibia, Nicaragua, Nigeria, Panama, Puerto Rico, Saint-Barthélemy, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Senegal, Sierra Leone, Sint Maarten, Suriname, Togo, Trinidad and Tobago, Turks and Caicos Islands (United Kingdom), United States of America, Uruguay, Venezuela (Bolivarian Republic of), Virgin Islands of the USA",,,,,,
