sc_name,redlist,description,trade,RankName,cites,cm_name,country
Carcharhinus cautus,Least Concern,"The Nervous SharkÂ (Carcharhinus cautus) is a medium-sized (to 150 cm total length) shark that occurs on continental and insular shelves in shallow tropical and subtropical waters to depths of 20 m across northern Australia, southern Papua New Guinea, and the Solomon Islands. The species is likely to have moderate reproductive capacity with a relatively young age-at-maturity of six years and an annual or biennial breeding cycle. In Australia, it is taken mostly as bycatch in gillnet fisheries where it is sometimes retained for domestic consumption of the meat. The catch in Papua New Guinea and the Solomon Islands is unknown but it is suspected to be taken in small-scale subsistence fisheries. The majority of the species' range is in Australian waters where all fisheries in which it is taken are managed; it has been reported as abundant in parts of Australia with reported catches stable in northwest Australia and minimal elsewhere. Therefore, the species is not suspected to be close to reaching the population reduction threshold and is assessed as Least Concern. The catch rates in areas where it is commonly taken should be monitored to ensure continued stable and sustainable catches.","This species is retained for the meat when taken as bycatch in Queensland (Stapley and Rose 2009, DEEDI 2011). It is probably consumed by some recreational fishers, particularly in northwest Australia and the Northern Territory. In Western Australia, it is likely to be discarded when taken in the barramundi fisheries due to regulations limiting retention of whole individuals. It is suspected to be retained for the meat in small-scale subsistence fisheries in Papua New Guinea and the Solomon Islands.",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Nervous shark,"Australia, Papua New Guinea, Solomon Islands"
Carcharhinus cerdale,Critically Endangered,"The Pacific Smalltail Shark (Carcharhinus cerdale) is a small requiem shark (to 140 cm total length) that inhabits coastal areas and estuaries in the Eastern Central and Southeast Pacific from the Gulf of California to Peru from inshore to a depth of 40 m. This species is caught in artisanal gillnet and longline and industrial trawl fisheries across its range. Gillnetting in the Gulf of California has been extensive and has led to the decline of various marine species. Shrimp trawling is prevalent in the southern Gulf of California, and this species has also been targeted there in artisanal fisheries since at least the 1960s. In Mexico, records of this species were relatively common from the 1950s to the 1980s, it became increasingly rare through the 1990s and early 2000s, and the last confirmed record is from 2001. Further south, intense and increasing artisanal fishing exists with very little management in place. Relative abundance decreased in the Colombian industrial shrimp trawl fishery between 1995 and 2004, which represented the equivalent of a &gt;99% population reduction over three generations (27 years).Â However, this species is still recorded in Pacific Colombian artisanal fisheries but with less frequency than in the past. Given its shallow depth range, this species has very little refuge from fishing. Overall, due to intense and largely unmanaged fishing pressure throughout its range, a lack of recent records in Mexico, and documented declines in Colombia, the Pacific Smalltail SharkÂ is inferred to have undergone a population reduction of more than 80% over the past three generations (27 years) based on levels of exploitation, and it is assessed as Critically Endangered A2bcd.","This shark's meat is salted or consumed fresh for local consumption, and fins and skins have been utilized in the past (Kato 1965). Currently, fins are likely to be exported internationally.",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Pacific smalltail shark,"Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru"
Carcharhinus coatesi,Least Concern,"The Australian Blackspot Shark (Carcharhinus coatesi)Â is a small-sizedÂ inshore shark (to 88 cm total length) restricted to southern Papua New Guinea and northern Australia.Â It is caught as bycatch in gillnet and demersal trawl fisheries throughout its range. Data on species-specific catches are unavailable, but catches are suspected to be moderate to high in Papua New Guinea, and relatively low in northern Australia. It has been described as moderately abundant in fisheries-independent coastal surveys in northern Australia, where the large majority of individuals encountered were mature. While this species is caught incidentally throughout its range, survey data suggest that it is moderately abundant in a large portion of its range (northern Australia). It matures early and possibly breeds annually with a relatively fast generation length of 4.25 years. Given its abundance, life history, and the low level of catches in fisheries across most of its range, there is nothing to infer or suspect a population reduction and the species is assessed as Least Concern.",Not known to be utilized given its small size.,SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Coates's shark,"Australia, Papua New Guinea"
Carcharhinus dussumieri,Endangered,"The Whitecheek Shark (Carcharhinus dussumieri)Â is a small-sized shark (to 100 cm total length) that occurs primarily in the Western Indian Ocean from at least the Arabian/Persian Gulf to the southeastern coast of India. It was common in inshore waters at depths to 100 m and is particularly susceptible to inshore fisheries. The species is caught in commercial trawling, artisanal fishing, hook-and-line fishing, and gillnetting throughout its range. It has a relatively low reproductive capacity (litters of 2-5 pups) making it particularly susceptible to over-exploitation. The Whitecheek Shark is often the dominant species landed in the Arabian/Persian Gulf (e.g. Iran and Qatar). However, off Pakistan and India, where it used to be common, there is evidence of declines exceeding 50-70% over the last 15 years with recent surveys in India and Sri Lanka failing to report the species. It is suspected that localized extinctions have likely occurred in Indian waters due to high levels of fishing pressure.Â The ongoing intensification of fisheries across its range, combined with reported declines of sharks in the region in general, lead to a suspected population decline of at least 50-70% over the past three generations (12 years) and further population reduction is suspected over the future three generation lengths (2018-2030) based on current levels of exploitation. As such this species is assessed as Endangered A2d+3d.","The meat of this species is often sold fresh for human consumption at local markets across its range. In some countries, such as Oman, Saudi Arabia (Arabian/Persian Gulf), Pakistan, and India the meat is cut into fillets, dried and salted for domestic sales or trade with neighbouring countries. Fins are not considered valuable due to their small size but are still traded internationally (Jabado et al. 2015).",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Whitecheek shark,"Bahrain, India, Iran (Islamic Republic of), Iraq, Kuwait, Oman, Pakistan, Qatar, Saudi Arabia, Sri Lanka, United Arab Emirates"
Carcharhinus falciformis,Vulnerable,"The Silky Shark (Carcharhinus falciformis) is an oceanic and coastal-pelagic shark with a circumglobal distribution in tropical waters. It is a target or bycatch species in pelagic tuna longline and purse seine fisheries where it is taken in high numbers. Silky Shark is one of the three most traded shark species in the global shark fin trade. Estimates of trends in abundance over three generations (45 years) from standardized catch rate and spawning biomass indices show declines of Silky Shark in the Eastern Central and Southeast Pacific Ocean, Western Central Pacific Ocean and the Atlantic Ocean. Across all three ocean regions, there are the major uncertainties in estimates of catch rate and population changes, and an inability to conclusively attribute any declines solely to fishing mortality as there is some potential for environmental influences on catchability and sampling artefacts. The weighted global population trend estimated a 47-54% decline over three generations. This reflects the proportionate contribution of each regionâ€™s Silky Shark population change. The estimated level of decline and the uncertainties in the data warrants a global status of Vulnerable. This assessment should be revisited when more definitive catch data and stock assessments become available.","The meat of Silky Shark is used for human consumption, the fins are taken for the shark fin trade, the skin has been processed for leather and the liver has been used for liver oil (for its high vitamin A content in this species) (Vannuccini 1999).",SPECIES,Appendix II: ,Silky shark,"Albania, Algeria, American Samoa, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Bahrain, Bangladesh, Barbados, Belize, Benin, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Bosnia and Herzegovina, Brazil, British Virgin Islands (United Kingdom), Brunei Darussalam, Bulgaria, Cabo Verde, Cambodia, Cameroon, Cayman Islands (United Kingdom), Chile, China, Christmas Island, Clipperton, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Cook Islands, Costa Rica, CÃ´te d'Ivoire, Croatia, Cuba, CuraÃ§ao, Cyprus, Democratic People's Republic of Korea, Democratic Republic of the Congo, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Fiji, France, French Guiana [FR], French Polynesia, Gabon, Gambia, Georgia, Ghana, Gibraltar (United Kingdom), Greece, Grenada, Guadeloupe, Guam, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kenya, Kiribati, Kuwait, Lebanon, Liberia, Libya, Macao, SAR, Madagascar, Malaysia, Maldives, Malta, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia (Federated States of), Monaco, Montenegro, Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, Nauru, New Caledonia, New Zealand, Nicaragua, Nigeria, Niue, Northern Mariana Islands, Oman, Pakistan, Palau, Panama, Papua New Guinea, Peru, Philippines, Portugal, Puerto Rico, Qatar, Republic of Korea, RÃ©union, Romania, Russian Federation, Saint-BarthÃ©lemy, Saint Helena and Dependencies (United Kingdom), Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Sint Maarten, Slovenia, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, State of Palestine, Sudan, Suriname, Syrian Arab Republic, Taiwan, Province of China, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkey, Tuvalu, Ukraine, United Arab Emirates, United Republic of Tanzania, United States of America, Uruguay, Vanuatu, Venezuela (Bolivarian Republic of), Viet Nam, Virgin Islands of the USA, Wallis and Futuna Islands, Western Sahara, Yemen"
Carcharhinus fitzroyensis,Least Concern,"The Creek WhalerÂ (Carcharhinus fitzroyensis) is a small-sized shark (to ~135 cm total length), endemic to northern Australia with a broad distribution in tropical waters from the intertidal zone to at least 40 m depth. Small numbers are caught in the inshore northern Australian gillnet fisheries and are retained for their meat. Juveniles use embayments as nursery areas, so they may be particularly at risk from gillnetting, which may lead to localised depletions with monitoring of these inshore areas recommended. The Creek Whaler is relatively productive and is likely able to tolerate the current and projected level of pressure in the northern Australian fisheries, hence it is assessed as Least Concern.","The Creek Whaler meat is consumed fresh locally, where it is sold as a low-value, mixed-species product under labels such as 'blacktip shark' or 'flake'. Its fins are relatively large, particularly in adult females, and are dried and primarily exported for use in shark fin soup.",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Creek whaler,Australia
Carcharhinus galapagensis,Least Concern,"The Galapagos Shark (Carcharhinus galapagensis) is a large (to at least 300 cm total length) shark with a circumglobal but patchy distribution. It is highly associated with warm temperate and tropicalÂ oceanic islands and seamounts from the surface to depths of 285 m. The Galapagos Shark has limited biological productivity, and therefore limited ability to sustain exploitation. It is caught as bycatch in commercial and small-scale longline, purse seine, and gillnet fisheries, both in pelagic oceanic waters and around islands and seamounts. The depletion of the Galapagos Shark has been reported at Saint Paul's Rocks, Brazil, and given the species' habitat specificity and limited biological productivity, has likely occurred elsewhere in places where fisheries are intense and unregulated, for example Madagascar. In contrast, the Galapagos Shark is suspected to be stable in a large part of its Pacific range, where it remains common in remote, protected, or lightly fished areas. Given this, and the species' wide range, the global population is not suspected to have undergone a population reduction reaching a level to suggest Near Threatened (i.e. 20â€“29%), and the species is assessed as Least Concern. Population monitoring is recommended where the species is fished, and enforcement of regulations in marine reserves where illegal fishing remains an issue will be important to secure local populations (e.g. Ecuador's GalÃ¡pagos Marine Resources Reserve).","There is little published information on use and trade of the Galapagos shark. The species is generally retained for the meat and fins (ClarkeÂ et al.Â 2006a,Â ClarkeÂ et al.Â 2006b, Dent and Clarke 2015,Â FieldsÂ et al.Â 2018), unless regulations prohibit retention. Fins enter international trade, and the meat is reported to be used in some regions where it is sold fresh locally and dried for international trade.",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Galapagos shark,"Australia, Bermuda (United Kingdom), Brazil, Colombia, Cook Islands, Ecuador, France, French Polynesia, Madagascar, New Zealand, Norfolk Island, Panama, Portugal, Saint Helena and Dependencies (United Kingdom), Samoa, Sao Tome and Principe, United States of America"
Carcharhinus hemiodon,Critically Endangered,"The Pondicherry Shark (Carcharhinus hemiodon) is a small (to 102 cm total length) and very rare Indo-West Pacific whaler shark. It has a wide historic range from Oman to southern China, but known records are scattered, and it has only been reliably verified from a handful of countries. It appears to occur in shallow coastal waters, and has also been reported to enter rivers, although this has not been verified.The contemporary range of this species is poorly defined and museum specimens were collected pre-1960. There are reports from 1979, the 1990s, and 2000, but none of these could be verified. Its identification is problematic, and it is easily confused with a number of other Carcharhinus species (for example, recent putative records from Sri Lanka).The Framework for using the Threats Model and the Records and Survey Model was applied to the Pondicherry Shark. The probability that the combination of threats (generally unregulated fisheries across its historic range) affecting the species occurred for a sufficient duration and were sufficiently severe that they caused local extinction, and the probability that threats occurred over the entire range of the species, were both very high. As a consequence, the probability that the species is extinct from the Threats Model is 0.81 (minimum = 0.64; maximum = 1.00). Its range has been subject to considerable survey effort directed at sharks and rays in general, and some dedicated searches for this species, all of which have failed to produce a verified record. Given the wide distribution of the species, these surveys have generally covered a small proportion of the speciesâ€™ range. Furthermore, given the identification issues, the probability that the species could have been reliably identified in the surveys is low. The probability that the species is extinct from the Records and Survey Model is 0.12 (minimum = 0; maximum = 0.31). The weighted average probability of extinction is 0.44â€“0.45, which is &lt;0.5 and therefore outside the threshold for Critically Endangered (Possibly Extinct).Given a lack of verifiable records since 1960, it is considered that the major population reduction would have occurred prior to the last three generation period (estimated at 27 years from a congener), therefore an assessment under criterion A is not appropriate. However, given the lack of records, the number of mature individuals is assumed to be &lt;250 with no subpopulation &gt;50 mature individuals, and the species is assessed as Critically Endangered (C2a(i)).",This species was probably utilized locally for human consumption.,SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Pondicherry shark,"China, India, Indonesia, Malaysia, Oman, Pakistan"
Carcharhinus humani,Data Deficient,"Human's Whaler Shark (Carcharhinus humani) is a small (to 83 cm total length) inshore sharkÂ that is patchily distributed in the Western Indian Ocean in waters to at least 43 m depth, although it likely occurs in both inshore and offshore waters.Â It is poorly-known and has likely been widely misidentified with the Whitecheek Shark (C. dussumieri). There is little information on the abundance and biology of this species. Human's Whaler Shark is assessed as Data Deficient due to a lack of population trend data across its range which overlaps significantly with coastal inshore fisheries. This assessment should be revisited as further information becomes available.",The meat of this species is likely to be sold fresh for human consumption at local markets where it occurs.,SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Human's whaler shark,"Bahrain, Kuwait, Mozambique, South Africa, Yemen"
Carcharhinus isodon,Near Threatened,"The Finetooth Shark (Carcharhinus isodon)Â is a medium-sized (to 200 cm total length) coastal shark found in the Northwest Atlantic and Southwest Atlantic Oceans from North Carolina (USA), to the Gulf of Mexico and isolated areas in the Caribbean Sea and down to Brazil. It occurs off beaches, in bays, estuaries and river mouthsÂ from the intertidal to a depth of 20 m. It is caught as target catch and bycatch of coastal commercial fisheries primarily for meat.In the Northwest Atlantic, where management exists, Finetooth Shark has annually increased by 3.5% with the median change over three generation lengths (23 years) and corresponding probabilities for rates of population change all indicate an increasing population. However, in the Southwest Atlantic Ocean, this species was formerly common in the 1970s and 1980s but due to the intense unmanaged fishing pressure there have been few records of this species in the past decade. Consequently, it is suspected that this species has undergone a population reduction of &gt;80% over the past three generation lengths (23 years) in the Southwest Atlantic portion of its range.Overall, due to Brazil occupying about 20% of its overall global range and the increasing population in the Northwest Atlantic, it is suspected that the Finetooth Shark has undergone a population reduction of 20â€“29% over the past three generation lengths (23 years) due to levels of exploitation, and it is assessed as Near Threatened (close to meeting Vulnerable A2bd).","The Finetooth Shark is harvested commercially and recreationally and utilized primarily for meat. Based on trimming of shark fins from Hong Kong in 2014â€“2015, Finetooth Shark comprised 0.09â€“0.13% of the fin trade (FieldsÂ et al. 2018, CardeÃ±osa et al. 2020).",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Finetooth shark,"Brazil, Guyana, Trinidad and Tobago, United States of America, Venezuela (Bolivarian Republic of)"
Carcharhinus leiodon,Endangered,"The Smoothtooth Blacktip Shark (Carcharhinus leiodon) is endemic to the Arabian Seas region and was only rediscovered in 2009. Overall, there are a limited number of specimens reported. It is believed to occur in inshore waters where it is captured in gillnet, line and trawl fisheries within its range. Its recent re-discovery and re-description means that historically it has likely been under-recorded, however reliable identification of Carcharhinus species since then indicates that this species is rare and localised.Although there are limited data on its status, similar commercially important Carcharhinus species in the Arabian Gulf/Persian Gulf (hereafter referred to as the 'Gulf') have undergone significant declines. One of the areas in which the Smoothtooth Blacktip Shark is known from (southern Oman/eastern Yemen) has been, and continues to be, subject to intensive fishing targeted at sharks, suggesting suspected population declines of 50-80% are appropriate for this species. The other known centre of abundance around Kuwait is also subject to habitat degradation and change from water management practices in the Tigris and Euphrates rivers. Furthermore, the loss and modification of coastal habitats in the Gulf is a significant concern for inshore species such as this. A further population reduction is suspected over three generation lengths (2017-2042) based on current levels of exploitation. The limited geographic range of this species compared to other similar ""blacktip"" species increase the risks to this species. As such it is assessed as Endangered under criterion A2cd+3cd. Further research and monitoring are required to better understand the distribution, biology, ecology and population status of this species.","The meat of this species may be sold fresh for human consumption at local markets in the region. In some countries, such as Oman and Yemen, the meat is cut into fillets, dried and salted for domestic sales or trade with neighbouring countries. Species with black fins such as this one have higher value fins and fetch higher prices (although still lower than hammerheads and guitarfishes) (JabadoÂ et al.Â 2015).",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Smoothtooth blacktip shark,"Bahrain, Kuwait, Oman, Qatar, United Arab Emirates, Yemen"
Carcharhinus leucas,Vulnerable,"The Bull Shark (Carcharhinus leucas) is a large (to 400 cm total length) coastal shark with a circumglobal distribution. It is demersal and pelagic in tropical, sub-tropical, and temperate waters both inshore and offshore to a depth of 164 m, but mostly to ~30 m depth. The species is euryhaline and commonly moves into estuarine and fresh waters. In some areas, it has often been confused with the Pigeye Shark (C. amboinensis) confounding information on distribution and abundance. The species is captured as target and bycatch by multiple fishing gears, including gillnet and longline, throughout its range and mostly retained for its meat and fins. Species-specific population trend data reveal the population is increasing in the Northwest Atlantic, likely in response to management measures, and decreasing in South Africa most likely due to habitat degradation. Elsewhere, little data is available, but there is evidence of declines in general shark catches in many parts of its range despite ongoing high levels of fishing effort; declines in whaler sharks across the regions Large Marine Ecosystems equate to a 73% population reduction in the Bull Shark over the average past three generation lengths (68 years). This level of decline is not species-specific and while informative for understanding the broader levels of decline in sharks in the region, should be used with caution as the proportion of Bull Sharks in the whaler shark complex is unknown. The Bull Shark is still reported to be commonly caught in some parts of its range though declines are suspected. Overall, it is suspected that the Bull Shark has undergone a population reduction of 30â€“49% over the past three generation lengths (55â€“80 years) due to declines in habitat quality and levels of exploitation, and it is assessed as Vulnerable A2bcd.","The Bull Shark is used for its meat which is consumed fresh locally and dried and exported and for its fins (Fields et al. 2018, CardeÃ±osa et al. 2020). The skin and liver oil are also used commercially (Ebert et al. 2013), and in Pakistan, the late-term embryos are among the highest valued fish (M. Khan pers. comm. 9 February 2017). The Bull Shark is displayed in public aquaria.",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Bull shark,"Albania, Algeria, American Samoa, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Bahrain, Bangladesh, Barbados, Belize, Benin, Bonaire, Saint Eustatius and Saba, Bosnia and Herzegovina, Brazil, British Virgin Islands (United Kingdom), Brunei Darussalam, Bulgaria, Cambodia, Cameroon, Cayman Islands (United Kingdom), Chile, China, Colombia, Congo, Costa Rica, CÃ´te d'Ivoire, Croatia, Cuba, CuraÃ§ao, Cyprus, Democratic People's Republic of Korea, Democratic Republic of the Congo, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Fiji, France, French Guiana [FR], French Polynesia, Gabon, Gambia, Georgia, Ghana, Greece, Grenada, Guadeloupe, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kenya, Kuwait, Lebanon, Liberia, Libya, Macao, SAR, Madagascar, Malawi, Malaysia, Maldives, Malta, Martinique, Mauritania, Mauritius, Mexico, Monaco, Montenegro, Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, Namibia, New Caledonia, New Zealand, Nicaragua, Nigeria, Oman, Pakistan, Panama, Papua New Guinea, Peru, Philippines, Portugal, Puerto Rico, Qatar, Republic of Korea, RÃ©union, Romania, Russian Federation, Saint-BarthÃ©lemy, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Sint Maarten, Slovenia, Somalia, South Africa, Spain, Sri Lanka, State of Palestine, Sudan, Suriname, Syrian Arab Republic, Taiwan, Province of China, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turks and Caicos Islands (United Kingdom), Ukraine, United Arab Emirates, United Republic of Tanzania, United States of America, Uruguay, Venezuela (Bolivarian Republic of), Viet Nam, Virgin Islands of the USA, Western Sahara, Yemen, Zimbabwe"
Carcharhinus limbatus,Vulnerable,"The Blacktip Shark (Carcharhinus limbatus) is a medium-sized (to 286 cm total length) shark with a circumglobal distribution in tropical, subtropical, and warm temperate seas. It is demersal and pelagic on the continental shelf from inshore to a depth of 140 m, though mostly it occurs close inshore. It also often occurs in large schools near the surface, and it has inshore nursery grounds. The species is captured as target and bycatch in artisanal, industrial, and recreational fisheries and is retained for the high value meat and fins, unless regulations prohibit retention. The Blacktip Shark is estimated to be sustainably fished in areas where management measures are in place, i.e., the United States Gulf of Mexico, North Atlantic, Australia, and South Africa. Species-specific population trend data from these regions reveal population reductions of &lt;20% over the past three generation lengths in the Gulf of Mexico and South Africa (27â€“45 years). The North Atlantic population reduction in the spawning stock fecundity was not to a level where the stock was overfished, while in Australia, stock assessments on the Blacktip Shark complex indicate stocks have recovered from previous overfishing and are now sustainable. In the Arabian Seas region, a population decline of 30â€“49% is suspected for the Blacktip Shark. Elsewhere, little data is available, but the species is exposed to intensive and unmanaged fishing effort and due to its preference for inshore habitats, has limited refuge from fishing pressure. There is evidence of declines in general shark catches in many parts of its range where there is a lack of management, despite ongoing high levels of effort; declines in whaler sharks across the regions Large Marine Ecosystems equate to a 54% reduction in the Blacktip Shark over the average past three generation lengths (38 years). This level of reduction is not species-specific and is informative for understanding the broader levels of decline in sharks in the region. Overall, it is suspected that the Blacktip Shark has undergone a population reduction of 30â€“49% over the past three generation lengths (27â€“49 years) due to levels of exploitation, and it is assessed as Vulnerable A2bd.","The meat is valuable and sold at both local and international markets (Akhilesh 2011, Ebert et al. 2013). There is a preference for its meat in the United States; similar species are also sold under the name â€˜Blacktipâ€™ (Ebert et al. 2013). The fins are valuable (fins with black tips obtain higher prices) and are traded internationally; Blacktip Shark fins accounted for 0.4% of fin samples analysed in Hong Kong (Fields et al. 2018). The liver oil is used for the cosmetics and nutraceutical sectors (Ebert et al. 2013, CardeÃ±osa 2019), and the skin is used to produce leather.",SPECIES,Appendix II:Listing adopted at CoP19 in November 2022 with entry into effect delayed by 12 months. ,Blacktip shark,"Albania, Algeria, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Aruba, Australia, Bahamas, Bahrain, Bangladesh, Barbados, Belize, Benin, Bonaire, Saint Eustatius and Saba, Bosnia and Herzegovina, Brazil, British Virgin Islands (United Kingdom), Brunei Darussalam, Cabo Verde, Cambodia, Cameroon, Chile, China, Colombia, Congo, Costa Rica, CÃ´te d'Ivoire, Croatia, Cuba, CuraÃ§ao, Cyprus, Democratic Republic of the Congo, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Fiji, France, French Guiana [FR], French Polynesia, Gabon, Gambia, Ghana, Greece, Grenada, Guadeloupe, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kenya, Kuwait, Lebanon, Liberia, Libya, Macao, SAR, Madagascar, Malaysia, Malta, Martinique, Mauritania, Mexico, Monaco, Montenegro, Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, New Caledonia, Nicaragua, Nigeria, Oman, Pakistan, Panama, Papua New Guinea, Peru, Philippines, Portugal, Puerto Rico, Qatar, Saint-BarthÃ©lemy, Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Sint Maarten, Slovenia, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, State of Palestine, Sudan, Suriname, Syrian Arab Republic, Taiwan, Province of China, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turks and Caicos Islands (United Kingdom), United Arab Emirates, United Republic of Tanzania, United States of America, Venezuela (Bolivarian Republic of), Viet Nam, Virgin Islands of the USA, Western Sahara, Yemen"
Carcharhinus longimanus,Critically Endangered,"The Oceanic Whitetip Shark (Carcharhinus longimanus) is a large (to 350 cm total length) wide-ranging, oceanic species of tropical and temperate seas worldwide with a preference for surface waters, though it has been reported to depths of 1,082 m. It has litters of 1â€“15 pups and likely has a biennial reproductive cycle. The species is caught globally as target and bycatch in pelagic large- and small-scale longline, purse seine, and gillnet fisheries and is often retained for the meat and fins, unless regulations prohibit retention. The species has a high catchability due to its preference for surface waters and its inquisitive nature. Steep population declines have occurred in all oceans. The Oceanic Whitetip Shark was once one of the most abundant pelagic shark species in tropical seas worldwide but is now rare in some regions. The global population is estimated to have undergone a reduction of &gt;98%, with the highest probability of &gt;80% reduction over three generation lengths (61.2 years). Therefore, the Oceanic Whitetip Shark is assessed as Critically Endangered A2bd.","The species is used for its meat, fins, liver oil, and skin (Ebert and Stehmann 2013). The Oceanic Whitetip Shark accounted for 1.8% in 1991â€“2001 and 0.6% in 2014, of the fin imported in Hong Kong (Clarke et al. 2006a, Fields et al. 2018). In some regions, the meat of juvenile Oceanic Whitetip Shark is sold fresh for human consumption at local markets.",SPECIES,Appendix II: ,"Oceanic whitetip shark, Whitetip oceanic shark, White-tipped shark, Whitetip shark","Algeria, American Samoa, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Barbados, Belize, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Cabo Verde, Cayman Islands (United Kingdom), Chile, China, Christmas Island, Clipperton, Cocos (Keeling) Islands, Colombia, Comoros, Costa Rica, Croatia, Cuba, CuraÃ§ao, Cyprus, Democratic People's Republic of Korea, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Fiji, France, French Guiana [FR], French Polynesia, Gabon, Greece, Guadeloupe, Guam, Guatemala, Haiti, Honduras, India, Indonesia, Iran (Islamic Republic of), Italy, Jamaica, Japan, Kenya, Kiribati, Lebanon, Libya, Madagascar, Malaysia, Maldives, Malta, Marshall Islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia (Federated States of), Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, Namibia, Nauru, New Caledonia, New Zealand, Niue, Northern Mariana Islands, Oman, Palau, Panama, Papua New Guinea, Peru, Philippines, Pitcairn Islands (United Kingdom), Portugal, Puerto Rico, Republic of Korea, RÃ©union, Saint-BarthÃ©lemy, Saint Helena and Dependencies (United Kingdom), Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sint Maarten, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, Sudan, Syrian Arab Republic, Taiwan, Province of China, Thailand, Timor-Leste, Tonga, Trinidad and Tobago, Tunisia, Turkey, Tuvalu, United Republic of Tanzania, United States Minor Outlying Islands, United States of America, Vanuatu, Venezuela (Bolivarian Republic of), Virgin Islands of the USA, Wallis and Futuna Islands, Western Sahara, Yemen"
